date,fiscal_year,product_code,customer_code,sold_quantity,forecast_quantity,net_error,net_error_pct,abs_error,abs_error_pct,customer,market,forecast_accuracy
2020-09-01,2021,A0118150101,70012043,29,10,-19,-42.0960,64318,80.1091,"Atliq e Store",Germany,19.8909
2020-10-01,2021,A0118150101,90012040,5,4,-1,-38.1236,65598,78.0436,Fnac-Darty,Germany,21.9564
2020-09-01,2021,A0118150101,90012039,23,18,-5,-42.9128,63616,77.7008,"Currys (Dixons Carphone)",Germany,22.2992
2020-09-01,2021,A0118150101,90012033,30,11,-19,-43.9670,58752,77.3908,Digimarket,Germany,22.6092
2020-09-01,2021,A0118150101,70012042,28,6,-22,-41.5102,59451,77.0161,"Atliq Exclusive",Germany,22.9839
2020-09-01,2021,A0118150101,90019201,6,4,-2,-40.6412,13948,76.8316,Expert,Sweden,23.1684
2020-09-01,2021,A0118150101,90012041,28,11,-17,-42.1602,59603,76.4651,"Amazon ",Germany,23.5349
2020-10-01,2021,A0118150101,70019204,8,1,-7,-41.0224,15009,76.3428,"Atliq e Store",Sweden,23.6572
2020-09-01,2021,A0118150101,70006158,34,32,-2,-41.6155,107860,75.4725,"Atliq e Store",Philiphines,24.5275
2020-09-01,2021,A0118150101,80006154,190,40,-150,-37.0338,434273,75.3739,Synthetic,Philiphines,24.6261
2020-09-01,2021,A0118150101,90012038,18,7,-11,-40.4610,58561,75.1939,Expert,Germany,24.8061
2020-09-01,2021,A0118150101,70006157,60,37,-23,-37.0587,105509,74.7686,"Atliq Exclusive",Philiphines,25.2314
2020-09-01,2021,A0118150101,80006155,198,135,-63,-38.1843,448279,74.7179,Novus,Philiphines,25.2821
2020-10-01,2021,A0118150101,90019200,2,2,0,-39.2231,14875,73.4169,Sorefoz,Sweden,26.5831
2020-09-01,2021,A0118150101,90006153,17,46,29,-34.7108,106318,73.0914,Insight,Philiphines,26.9086
2020-10-01,2021,A0118150101,90006156,90,23,-67,-34.8623,113381,72.0419,"Amazon ",Philiphines,27.9581
2020-10-01,2021,A0118150101,90004068,8,12,4,-26.3266,29160,71.0422,"Amazon ",Japan,28.9578
2020-10-01,2021,A0118150101,90004064,2,4,2,-30.5670,28491,70.3290,All-Out,Japan,29.6710
2020-09-01,2021,A0118150101,70004070,12,6,-6,-29.9659,27205,70.2717,"Atliq e Store",Japan,29.7283
2020-09-01,2021,A0118150101,90004063,4,5,1,-27.4772,27639,69.2985,"Electricalsbea Stores",Japan,30.7015
2020-09-01,2021,A0118150101,90004067,24,9,-15,-28.5701,44090,69.2422,Amazon,Japan,30.7578
2020-09-01,2021,A0118150101,90004065,17,4,-13,-26.3619,25768,68.9777,Neptune,Japan,31.0223
2020-09-01,2021,A0118150101,90004061,9,6,-3,-28.7924,25590,68.4756,"Info Stores",Japan,31.5244
2020-09-01,2021,A0118150101,70004069,7,6,-1,-25.8511,25791,67.2306,"Atliq Exclusive",Japan,32.7694
2020-09-01,2021,A0118150101,70026206,2,6,4,-25.5904,19260,66.8936,"Atliq e Store",Mexico,33.1064
2020-09-01,2021,A0118150101,90004062,15,8,-7,-23.8616,26402,66.7932,"Flawless Stores",Japan,33.2068
2020-09-01,2021,A0118150101,90022074,107,142,35,-19.8184,350847,66.7367,Flipkart,USA,33.2633
2020-10-01,2021,A0118150101,90016176,4,2,-2,-20.1604,31589,66.6646,"Amazon ",Poland,33.3354
2020-09-01,2021,A0118150101,90016174,5,6,1,-21.6778,29158,66.5070,"Currys (Dixons Carphone)",Poland,33.4930
2020-09-01,2021,A0118150101,90022073,102,36,-66,-19.5027,272369,66.1932,Control,USA,33.8068
2020-09-01,2021,A0118150101,90016175,2,6,4,-20.7232,29977,66.0519,"Argos (Sainsbury's)",Poland,33.9481
2020-09-01,2021,A0118150101,90016171,7,2,-5,-20.9062,29952,66.0114,"Electricalsara Stores",Poland,33.9886
2020-09-01,2021,A0118150101,90004066,12,5,-7,-24.6395,25731,65.8975,"Surface Stores",Japan,34.1025
2020-09-01,2021,A0118150101,70003181,31,21,-10,-11.3590,200702,65.4505,"Atliq Exclusive",Indonesia,34.5495
2020-09-01,2021,A0118150101,90022079,158,14,-144,-18.2060,285946,65.4505,walmart,USA,34.5495
2020-09-01,2021,A0118150101,90022071,60,38,-22,-18.6133,281873,65.4178,"Acclaimed Stores",USA,34.5822
2020-09-01,2021,A0118150101,90022081,245,81,-164,-21.1882,419293,65.3647,Amazon,USA,34.6353
2020-09-01,2021,A0118150101,70022085,112,45,-67,-18.2510,263922,65.2492,"Atliq e Store",USA,34.7508
2020-09-01,2021,A0118150101,90008167,69,46,-23,-14.7165,147681,65.2206,Electricalsocity,Australia,34.7794
2020-10-01,2021,A0118150101,90022076,176,131,-45,-18.9971,289910,64.9830,"Circuit City",USA,35.0170
2020-10-01,2021,A0118150101,90016172,16,2,-14,-24.0480,29831,64.7276,Power,Poland,35.2724
2020-09-01,2021,A0118150101,90022075,42,69,27,-16.9679,279385,64.6922,BestBuy,USA,35.3078
2020-09-01,2021,A0118150101,70016177,17,3,-14,-22.3755,28014,64.6348,"Atliq Exclusive",Poland,35.3652
2020-10-01,2021,A0118150101,90022080,165,40,-125,-15.5237,287308,64.5960,Staples,USA,35.4040
2020-09-01,2021,A0118150101,70016178,6,7,1,-16.9442,28695,64.5789,"Atliq e Store",Poland,35.4211
2020-10-01,2021,A0118150101,70022084,69,72,3,-19.5004,286432,64.5636,"Atliq Exclusive",USA,35.4364
2020-09-01,2021,A0118150101,90022078,71,114,43,-16.1993,272046,64.4726,Costco,USA,35.5274
2020-09-01,2021,A0118150101,90016173,16,11,-5,-20.8938,28005,64.2788,Expert,Poland,35.7212
2020-09-01,2021,A0118150101,90005159,29,12,-17,-13.9385,51407,64.0163,Expression,Pakistan,35.9837
2020-10-01,2021,A0118150101,90008164,102,54,-48,-16.4739,150360,63.9759,Digimarket,Australia,36.0241
2020-09-01,2021,A0118150101,90022082,64,43,-21,-18.9803,263364,63.6471,"Amazon ",USA,36.3529
2020-10-01,2021,A0118150101,90008168,105,26,-79,-12.7275,148337,63.3651,"Amazon ",Australia,36.6349
2020-09-01,2021,A0118150101,90005162,18,10,-8,-14.8514,49327,63.2892,"Amazon ",Pakistan,36.7108
2020-09-01,2021,A0118150101,90008166,32,12,-20,-12.8419,139751,63.1994,Sound,Australia,36.8006
2020-10-01,2021,A0118150101,90022072,184,59,-125,-15.3252,281835,63.0272,Path,USA,36.9728
2020-09-01,2021,A0118150101,90022083,163,19,-144,-16.1648,271498,62.9854,Ebay,USA,37.0146
2020-09-01,2021,A0118150101,90005161,9,13,4,-11.2759,49316,62.7917,Zone,Pakistan,37.2083
2020-09-01,2021,A0118150101,70003182,37,25,-12,-12.9418,194679,62.6723,"Atliq e Store",Indonesia,37.3277
2020-10-01,2021,A0118150101,90005160,29,9,-20,-10.6835,53519,62.6188,"Nomad Stores",Pakistan,37.3812
2020-10-01,2021,A0118150101,90003180,81,94,13,-14.1310,205979,62.5270,"Amazon ",Indonesia,37.4730
2020-09-01,2021,A0118150101,90026205,9,2,-7,-17.1006,18510,61.9436,"Amazon ",Mexico,38.0564
2020-09-01,2021,A0118150101,70008169,49,16,-33,-9.9475,137542,61.8928,"Atliq Exclusive",Australia,38.1072
2020-09-01,2021,A0118150101,90022077,39,35,-4,-11.1911,258990,61.5422,"Radio Shack",USA,38.4578
2020-09-01,2021,A0118150101,70005163,17,8,-9,-11.6069,50193,61.2797,"Atliq e Store",Pakistan,38.7203
2020-09-01,2021,A0118150101,70008170,60,45,-15,-9.7975,137175,61.2484,"Atliq e Store",Australia,38.7516
2020-09-01,2021,A0118150101,90008165,31,54,23,-10.3656,134821,60.7056,"Forward Stores",Australia,39.2944
2020-09-01,2021,A0118150101,90003179,80,45,-35,-13.0591,196691,60.6560,"Acclaimed Stores",Indonesia,39.3440
2020-09-01,2021,A0118150101,90024183,6,2,-4,-7.6584,12399,59.9855,"Electricalsbea Stores",Chile,40.0145
2020-10-01,2021,A0118150101,90011188,67,49,-18,-1.0203,127289,59.8224,Elkjøp,France,40.1776
2020-10-01,2021,A0118150101,90024184,9,4,-5,-13.8868,12645,59.7477,"Amazon ",Chile,40.2523
2020-09-01,2021,A0118150101,90018105,12,4,-8,-0.8777,59099,59.0146,"Integration Stores",Spain,40.9854
2020-09-01,2021,A0118150101,90011187,67,53,-14,1.8099,122947,58.7588,"Chip 7",France,41.2412
2020-09-01,2021,A0118150101,90018113,10,16,6,-0.1003,59726,58.7519,Elkjøp,Spain,41.2481
2020-09-01,2021,A0118150101,90011190,55,33,-22,2.1806,118872,58.7263,"Media Markt",France,41.2737
2020-09-01,2021,A0118150101,70018115,28,19,-9,1.1320,62326,58.5991,"Atliq e Store",Spain,41.4009
2020-09-01,2021,A0118150101,70011194,18,37,19,-0.8424,117652,58.5788,"Atliq e Store",France,41.4212
2020-10-01,2021,A0118150101,90018108,19,9,-10,0.3996,64027,58.5524,Relief,Spain,41.4476
2020-09-01,2021,A0118150101,90020101,9,4,-5,0.9040,18006,58.5523,Euronics,Austria,41.4477
2020-09-01,2021,A0118150101,90011191,23,10,-13,-0.3961,122049,58.4520,Sorefoz,France,41.5480
2020-09-01,2021,A0118150101,90018114,13,21,8,0.5125,59839,58.4194,"Amazon ",Spain,41.5806
2020-09-01,2021,A0118150101,90002009,58,77,19,1.4161,540854,58.4141,Flipkart,India,41.5859
2020-09-01,2021,A0118150101,90002014,94,103,9,1.9393,426963,58.3877,Expression,India,41.6123
2020-09-01,2021,A0118150101,90009129,28,31,3,7.4430,63918,58.3587,Leader,Newzealand,41.6413
2020-09-01,2021,A0118150101,90018109,11,15,4,3.0781,60154,58.3362,Chiptec,Spain,41.6638
2020-09-01,2021,A0118150101,90002015,175,31,-144,6.5938,453779,58.1843,Propel,India,41.8157
2020-09-01,2021,A0118150101,90018111,32,12,-20,-1.2916,61094,58.0234,"Media Markt",Spain,41.9766
2020-10-01,2021,A0118150101,90011192,60,18,-42,0.5175,124433,57.9607,"Amazon ",France,42.0393
2020-10-01,2021,A0118150101,90018112,24,14,-10,3.5436,64583,57.9532,Euronics,Spain,42.0468
2020-09-01,2021,A0118150101,90011189,24,7,-17,0.9639,116664,57.9038,UniEuro,France,42.0962
2020-09-01,2021,A0118150101,90002011,144,175,31,0.3521,446120,57.8726,"Atliq Exclusive",India,42.1274
2020-09-01,2021,A0118150101,70011193,70,11,-59,0.0450,117047,57.8353,"Atliq Exclusive",France,42.1647
2020-10-01,2021,A0118150101,90002016,216,154,-62,4.2765,461711,57.8311,"Amazon ",India,42.1689
2020-09-01,2021,A0118150101,90020103,11,6,-5,-2.5451,18357,57.7500,"Amazon ",Austria,42.2500
2020-09-01,2021,A0118150101,90002013,200,147,-53,4.2303,430464,57.6926,Electricalslytical,India,42.3074
2020-09-01,2021,A0118150101,90018106,15,26,11,-0.5186,75460,57.5530,Flipkart,Spain,42.4470
2020-09-01,2021,A0118150101,90018107,22,11,-11,0.0196,61627,57.4643,Elite,Spain,42.5357
2020-10-01,2021,A0118150101,70020104,3,5,2,-1.3073,18851,57.4445,"Atliq e Store",Austria,42.5555
2020-09-01,2021,A0118150101,90018110,34,16,-18,2.0887,59381,57.3951,Boulanger,Spain,42.6049
2020-10-01,2021,A0118150101,90020100,2,6,4,1.8172,19174,57.3077,Nova,Austria,42.6923
2020-10-01,2021,A0118150101,90002008,248,154,-94,4.5015,724123,57.2839,Amazon,India,42.7161
2020-09-01,2021,A0118150101,70002017,248,84,-164,5.9749,417293,57.2606,"Atliq Exclusive",India,42.7394
2020-09-01,2021,A0118150101,90002002,202,60,-142,5.9634,432224,57.2202,Croma,India,42.7798
2020-09-01,2021,A0118150101,90010046,19,10,-9,14.7740,74245,57.2044,"Amazon ",Bangladesh,42.7956
2020-10-01,2021,A0118150101,70021096,90,84,-6,30.3981,180961,57.1822,"Atliq e Store","United Kingdom",42.8178
2020-09-01,2021,A0118150101,90015145,31,50,19,33.0846,117008,57.1473,Synthetic,Norway,42.8527
2020-09-01,2021,A0118150101,90011185,11,31,20,1.6641,114545,57.1200,"Epic Stores",France,42.8800
2020-09-01,2021,A0118150101,70015151,26,51,25,29.8892,123070,57.0712,"Atliq Exclusive",Norway,42.9288
2020-10-01,2021,A0118150101,90002004,164,177,13,4.2731,458183,57.0223,"Vijay Sales",India,42.9777
2020-09-01,2021,A0118150101,90002006,120,83,-37,2.7702,423136,56.9682,Viveks,India,43.0318
2020-09-01,2021,A0118150101,70009133,7,27,20,8.2344,62432,56.9313,"Atliq Exclusive",Newzealand,43.0687
2020-10-01,2021,A0118150101,90010044,17,23,6,15.2424,78399,56.7558,"Surface Stores",Bangladesh,43.2442
2020-09-01,2021,A0118150101,90011186,47,26,-21,2.0332,118254,56.7331,Elite,France,43.2669
2020-09-01,2021,A0118150101,90021091,33,29,-4,29.6012,175761,56.7125,Expert,"United Kingdom",43.2875
2020-09-01,2021,A0118150101,90002005,158,82,-76,2.5366,413684,56.7029,Lotus,India,43.2971
2020-09-01,2021,A0118150101,70002018,240,174,-66,5.5840,420936,56.6719,"Atliq e Store",India,43.3281
2020-09-01,2021,A0118150101,90013121,7,14,7,16.0717,69266,56.6297,Boulanger,Italy,43.3703
2020-10-01,2021,A0118150101,90009128,37,4,-33,10.0190,66889,56.5395,Propel,Newzealand,43.4605
2020-09-01,2021,A0118150101,90020099,2,5,3,-1.5167,18168,56.4644,"Integration Stores",Austria,43.5356
2020-10-01,2021,A0118150101,90021092,18,110,92,31.2842,182044,56.2623,UniEuro,"United Kingdom",43.7377
2020-09-01,2021,A0118150101,90023029,79,10,-69,17.4054,151139,56.2499,Staples,Canada,43.7501
2020-09-01,2021,A0118150101,90023030,50,38,-12,11.5248,146186,56.2189,"Amazon ",Canada,43.7811
2020-09-01,2021,A0118150101,70013126,14,16,2,17.1300,70448,56.2181,"Atliq e Store",Italy,43.7819
2020-09-01,2021,A0118150101,90017057,11,17,6,26.8996,63922,56.2105,Euronics,Portugal,43.7895
2020-09-01,2021,A0118150101,90023023,113,40,-73,15.8973,248034,56.1994,Amazon,Canada,43.8006
2020-09-01,2021,A0118150101,90013117,12,28,16,18.7340,70031,56.1988,Euronics,Italy,43.8012
2020-10-01,2021,A0118150101,70023032,54,93,39,13.9134,159470,56.1799,"Atliq e Store",Canada,43.8201
2020-09-01,2021,A0118150101,90015150,45,7,-38,30.1952,117580,56.1410,"Amazon ",Norway,43.8590
2020-09-01,2021,A0118150101,90010045,19,17,-2,12.0972,71964,56.1364,Control,Bangladesh,43.8636
2020-09-01,2021,A0118150101,70010047,37,20,-17,13.8983,75683,56.0843,"Atliq Exclusive",Bangladesh,43.9157
2020-09-01,2021,A0118150101,90021089,18,53,35,32.4411,170558,56.0416,"Atlas Stores","United Kingdom",43.9584
2020-10-01,2021,A0118150101,90009132,10,17,7,6.5544,64977,56.0151,"Amazon ",Newzealand,43.9849
2020-09-01,2021,A0118150101,90009131,11,9,-2,7.8441,64550,55.9858,Path,Newzealand,44.0142
2020-09-01,2021,A0118150101,90020102,9,3,-6,-2.4054,17339,55.9828,Fnac-Darty,Austria,44.0172
2020-09-01,2021,A0118150101,90002003,74,121,47,3.5213,426568,55.8892,Ezone,India,44.1108
2020-10-01,2021,A0118150101,90001020,72,72,0,8.9677,177367,55.8664,Zone,China,44.1336
2020-09-01,2021,A0118150101,90009127,5,9,4,7.5173,63493,55.8175,"Epic Stores",Newzealand,44.1825
2020-10-01,2021,A0118150101,70015152,19,32,13,29.0762,124656,55.7807,"Atliq e Store",Norway,44.2193
2020-09-01,2021,A0118150101,90002010,77,220,143,2.7834,407849,55.7039,Ebay,India,44.2961
2020-09-01,2021,A0118150101,90020098,2,7,5,5.4403,17602,55.6743,"Electricalsquipo Stores",Austria,44.3257
2020-09-01,2021,A0118150101,90002001,136,173,37,3.9137,402842,55.6599,"Reliance Digital",India,44.3401
2020-09-01,2021,A0118150101,90021090,41,54,13,29.5435,165710,55.6160,"Radio Popular","United Kingdom",44.3840
2020-09-01,2021,A0118150101,90021086,40,33,-7,29.4189,165683,55.5346,"Electricalsquipo Stores","United Kingdom",44.4654
2020-09-01,2021,A0118150101,90021093,64,32,-32,30.8274,164396,55.4936,"Chip 7","United Kingdom",44.5064
2020-09-01,2021,A0118150101,90021095,50,56,6,30.3153,174330,55.4644,"Amazon ","United Kingdom",44.5356
2020-09-01,2021,A0118150101,90020097,9,5,-4,2.2421,17481,55.4372,"Atlas Stores",Austria,44.5628
2020-09-01,2021,A0118150101,90021087,30,13,-17,33.9602,177184,55.4173,"Logic Stores","United Kingdom",44.5827
2020-10-01,2021,A0118150101,90002012,298,34,-264,5.3695,438508,55.3365,Electricalsocity,India,44.6635
2020-10-01,2021,A0118150101,90013116,36,14,-22,18.5648,74167,55.3303,"Unity Stores",Italy,44.6697
2020-09-01,2021,A0118150101,90013119,25,33,8,19.7223,72143,55.2232,"Argos (Sainsbury's)",Italy,44.7768
2020-09-01,2021,A0118150101,90017055,5,11,6,26.4695,66307,55.2149,"Electricalslance Stores",Portugal,44.7851
2020-10-01,2021,A0118150101,90015148,51,27,-24,27.2181,121507,55.2036,Boulanger,Norway,44.7964
2020-09-01,2021,A0118150101,90013123,27,20,-7,19.8485,71448,55.1760,Expert,Italy,44.8240
2020-10-01,2021,A0118150101,90017056,25,9,-16,26.2379,66308,55.1611,Sorefoz,Portugal,44.8389
2020-09-01,2021,A0118150101,90027207,2,11,9,26.8853,24599,55.1448,"Amazon ",Brazil,44.8552
2020-10-01,2021,A0118150101,90017052,9,27,18,27.2224,67039,55.0832,Power,Portugal,44.9168
2020-09-01,2021,A0118150101,90017049,17,20,3,26.3989,61737,55.0103,"Premium Stores",Portugal,44.9897
2020-09-01,2021,A0118150101,90001021,58,43,-15,12.8336,163907,55.0097,Taobao,China,44.9903
2020-09-01,2021,A0118150101,90002007,129,164,35,4.1773,427909,54.9477,Girias,India,45.0523
2020-09-01,2021,A0118150101,90023022,17,11,-6,14.9883,145510,54.9331,"Nomad Stores",Canada,45.0669
2020-09-01,2021,A0118150101,90023025,46,55,9,17.0940,146208,54.8930,"Premium Stores",Canada,45.1070
2020-09-01,2021,A0118150101,70023031,52,45,-7,18.2227,157141,54.8874,"Atliq Exclusive",Canada,45.1126
2020-09-01,2021,A0118150101,90017059,11,25,14,23.0023,62614,54.8505,"Amazon ",Portugal,45.1495
2020-09-01,2021,A0118150101,90017053,8,26,18,24.6510,61279,54.8407,"Info Stores",Portugal,45.1593
2020-09-01,2021,A0118150101,90013122,17,28,11,18.3944,67716,54.8237,"Radio Popular",Italy,45.1763
2020-10-01,2021,A0118150101,70017060,8,22,14,25.4572,66174,54.8052,"Atliq e Store",Portugal,45.1948
2020-09-01,2021,A0118150101,90013118,9,19,10,19.3041,69145,54.7514,Fnac-Darty,Italy,45.2486
2020-09-01,2021,A0118150101,90021094,65,83,18,30.8007,164997,54.7495,Coolblue,"United Kingdom",45.2505
2020-09-01,2021,A0118150101,70009134,21,13,-8,6.3363,60646,54.7391,"Atliq e Store",Newzealand,45.2609
2020-10-01,2021,A0118150101,90021088,65,19,-46,30.6844,176952,54.6673,Electricalslytical,"United Kingdom",45.3327
2020-09-01,2021,A0118150101,90015149,33,37,4,33.1327,116133,54.6508,UniEuro,Norway,45.3492
2020-09-01,2021,A0118150101,70013125,21,37,16,17.5924,67440,54.6391,"Atliq Exclusive",Italy,45.3609
2020-09-01,2021,A0118150101,90017050,12,20,8,25.5807,62648,54.6247,"Electricalsara Stores",Portugal,45.3753
2020-10-01,2021,A0118150101,90015144,65,52,-13,29.0418,123209,54.6050,Sound,Norway,45.3950
2020-09-01,2021,A0118150101,90009130,12,14,2,6.2346,60145,54.5904,"Logic Stores",Newzealand,45.4096
2020-09-01,2021,A0118150101,80001019,252,271,19,12.6461,695779,54.5603,Neptune,China,45.4397
2020-09-01,2021,A0118150101,90015147,29,21,-8,30.7986,122050,54.5190,Chiptec,Norway,45.4810
2020-09-01,2021,A0118150101,90017054,27,29,2,26.3823,62378,54.3846,"Flawless Stores",Portugal,45.6154
2020-09-01,2021,A0118150101,90015146,42,13,-29,30.0888,114135,54.2191,Mbit,Norway,45.7809
2020-10-01,2021,A0118150101,90013124,38,4,-34,18.5026,73759,54.1883,"Amazon ",Italy,45.8117
2020-10-01,2021,A0118150101,90023024,78,37,-41,14.2167,155585,54.1668,Sage,Canada,45.8332
2020-10-01,2021,A0118150101,90023028,78,55,-23,15.6122,153039,54.0157,walmart,Canada,45.9843
2020-09-01,2021,A0118150101,90017058,23,12,-11,21.0917,59348,53.8573,Mbit,Portugal,46.1427
2020-09-01,2021,A0118150101,90017051,24,31,7,26.3842,63449,53.7398,"Forward Stores",Portugal,46.2602
2020-09-01,2021,A0118150101,90023026,9,47,38,16.2692,146921,53.7204,Relief,Canada,46.2796
2020-10-01,2021,A0118150101,70027208,3,6,3,28.1947,25398,53.6717,"Atliq e Store",Brazil,46.3283
2020-09-01,2021,A0118150101,90023027,51,26,-25,15.6307,149274,53.3194,Costco,Canada,46.6806
2020-10-01,2021,A0118150101,70010048,34,38,4,15.8771,75645,53.2674,"Atliq e Store",Bangladesh,46.7326
2020-10-01,2021,A0118150101,90013120,23,26,3,17.9313,70378,52.7050,Coolblue,Italy,47.2950
2020-09-01,2021,A0118150101,90025209,1,1,0,13.3848,8051,52.1843,"Electricalsbea Stores",Columbia,47.8157
